,pmid,doi,journal,country,title,authors,abstract,citation_count,published_at
87297,32753027,10.2174/1871526520666200804161650,Infectious disorders drug targets,United Arab Emirates,Role of key point Mutations in Receptor Binding Domain of SARS-CoV-2 Spike Glycoprotein.,Bipin Singh,"<Abstract>
                <AbstractText>The recent outbreak of novel coronavirus (SARS-CoV-2 or 2019-nCoV) and its worldwide spread is posing one of the major threats to human health and the world economy. It has been suggested that SARS-CoV-2 is similar to SARSCoV based on the comparison of the genome sequence. Despite the genomic similarity between SARS-CoV-2 and SARSCoV, the spike glycoprotein and receptor binding domain in SARS-CoV-2 shows the considerable difference compared to SARS-CoV, due to the presence of several point mutations. The analysis of receptor binding domain (RBD) from recently published 3D structures of spike glycoprotein of SARS-CoV-2 (Yan, R., et al. (2020); Wrapp, D., et al. (2020); Walls, A. C., et al. (2020)) highlights the contribution of a few key point mutations in RBD of spike glycoprotein and molecular basis of its efficient binding with human angiotensin-converting enzyme 2 (ACE2).</AbstractText>
                <CopyrightInformation>Copyright© Bentham Science Publishers; For any queries, please email at epub@benthamscience.net.</CopyrightInformation>
            </Abstract>",0,2020-08-05 00:00:00
9647,33560597,10.1002/ehf2.13157,ESC heart failure,England,Impact of telemedicine on the management of heart failure patients during coronavirus disease 2019 pandemic.,"Marta Afonso Nogueira, Fernanda Ferreira, Ana Filipa Raposo, Lurdes Mónica, Sara Simões Dias, Rafael Vasconcellos, Gonçalo Proença","<Abstract>
                <AbstractText Label=""AIMS"">Chronic heart failure (HF) is a major comorbidity accounting for an increased severity and mortality related to coronavirus disease 2019 (COVID-19). To reduce the risk of COVID-19 in HF patients, telemedicine has been encouraged.</AbstractText>
                <AbstractText Label=""METHODS AND RESULTS"">During the COVID-19 pandemic, telemedical management with mainly over-the-phone appointments became a major strategy of follow-up of our HF clinic patients. Previously, the large majority of patients have been seen in the hospital with direct patient-provider contact. We compared both strategies of follow-up, in pre-pandemic (PPP) and pandemic (PP) periods, regarding total mortality and hospitalizations/emergency department (ED) visits due to HF exacerbation. We prospectively studied a cohort of 196 patients. The mean follow-up time in PPP was 1.4 years. In this period, 20 patients died. In PP (follow-up of 71 days), there was one additional death. Total mortality in the first year of follow-up was 12.0%, matching the mortality predicted by the Meta-Analysis Global Group in Chronic Heart Failure score. Considering hospitalizations/ED visits due to decompensated HF, there was no statistically significant difference between PPP and PP. Only one patient was diagnosed with COVID-19.</AbstractText>
                <AbstractText Label=""CONCLUSIONS"">In the light of an increase in telemedical management of this cohort of HF patients, we were able to maintain a low rate of admissions due to HF decompensation, without an increment in mortality. Regarding these results, we encourage the incremental use of telemedicine in HF patients in the context of this or future pandemics and also in situations in which physical consultation might not be possible due to logistic issues.</AbstractText>
                <CopyrightInformation>© 2021 The Authors. ESC Heart Failure published by John Wiley &amp; Sons Ltd on behalf of European Society of Cardiology.</CopyrightInformation>
            </Abstract>",0,2021-04-08 00:00:00
99595,32427645,10.1097/INF.0000000000002744,The Pediatric infectious disease journal,United States,Pediatric Life-Threatening Coronavirus Disease 2019 With Myocarditis.,"Marie-Laure Oberweis, Andrei Codreanu, Wolfgang Boehm, Damien Olivier, Charlotte Pierron, Chantal Tsobo, Michel Kohnen, Tamir T Abdelrahman, Nguyen T Nguyen, Kerstin Wagner, Isabel de la Fuente Garcia","<Abstract>
                <AbstractText>We report the case of a pediatric life-threatening coronavirus disease 2019 who presented as myocarditis with heart failure. Clinicians should be aware of this severe presentation of the disease in children, possibly linked to an exaggerated inflammatory host immune response to severe acute respiratory syndrome coronavirus 2.</AbstractText>
            </Abstract>",16,2020-12-18 00:00:00
136748,34306860,10.7759/cureus.15650,Cureus,United States,A Unique Case of Acute Coronary Syndrome in a Patient With COVID-19 Infection.,"Juwairiya Shuroog, Joseph Raffetto, Shahabuddin Soherwardi, Maleeha Hassan, Simona Eng, Fahad Nayim","<Abstract><AbstractText>The coronavirus pandemic has caused significant mortality and morbidity in just over a year of its course since the first case was identified in Wuhan, China in December 2019. The varied presenting symptoms of this enveloped positive-sense single-stranded RNA virus infection and the unknown surrounding the pathophysiology of the disease process have been extensively reported in the literature. In this case report, we present a coronavirus disease 2019 (COVID-19) positive patient who presented with chest pain, diagnosed with acute coronary syndrome. Interestingly, the patient was noted to have non-ST elevation myocardial infarction with cardiac catheterization showing coronary microthrombi rather than typical acute coronary thrombotic occlusive disease.</AbstractText><CopyrightInformation>Copyright © 2021, Shuroog et al.</CopyrightInformation></Abstract>",0,2021-07-27 00:00:00
73102,32639511,10.1001/jamacardio.2020.2468,JAMA cardiology,United States,Association of Clonal Hematopoiesis of Indeterminate Potential With Inflammatory Gene Expression in Patients With Severe Degenerative Aortic Valve Stenosis or Chronic Postischemic Heart Failure.,"Wesley Tyler Abplanalp, Silvia Mas-Peiro, Sebastian Cremer, David John, Stefanie Dimmeler, Andreas M Zeiher","<Abstract>
                <AbstractText Label=""Importance"">Cytokine release syndrome is a complication of coronavirus disease 2019. Clinically, advanced age and cardiovascular comorbidities are the most important risk factors.</AbstractText>
                <AbstractText Label=""Objective"">To determine whether clonal hematopoiesis of indeterminate potential (CHIP), an age-associated condition with excess cardiovascular risk defined as the presence of an expanded, mutated somatic blood cell clone in persons without other hematological abnormalities, may be associated with an inflammatory gene expression sensitizing monocytes to aggravated immune responses.</AbstractText>
                <AbstractText Label=""Design, Setting, and Participants"">This hypothesis-generating diagnostic study examined a cohort of patients with severe degenerative aortic valve stenosis or chronic postinfarction heart failure, as well as age-matched healthy control participants. Single-cell RNA sequencing and analyses of circulating peripheral monocytes was done between 2017 and 2019 to assess the transcriptome of circulating monocytes.</AbstractText>
                <AbstractText Label=""Exposures"">Severe degenerative aortic valve stenosis or chronic postinfarction heart failure.</AbstractText>
                <AbstractText Label=""Main Outcomes and Measures"">CHIP-driver sequence variations in monocytes with a proinflammatory signature of genes involved in cytokine release syndrome.</AbstractText>
                <AbstractText Label=""Results"">The study included 8 patients with severe degenerative aortic valve stenosis, 6 with chronic postinfarction heart failure, and 3 healthy control participants. Their mean age was 75.7 (range, 54-89) years, and 6 were women. Mean CHIP-driver gene variant allele frequency was 4.2% (range, 2.5%-6.9%) for DNMT3A and 14.3% (range, 2.6%-37.4%) for TET2. Participants with DNMT3A or TET2 CHIP-driver sequence variations displayed increased expression of interleukin 1β (no CHIP-driver sequence variations, 1.6217 normalized Unique Molecular Identifiers [nUMI]; DNMT3A, 5.3956 nUMI; P &lt; .001; TET2, 10.8216 nUMI; P &lt; .001), the interleukin 6 receptor (no CHIP-driver sequence variations, 0.5386 nUMI; DNMT3A, 0.9162 nUMI; P &lt; .001;TET2, 0.5738 nUMI; P &lt; .001), as well as the NLRP3 inflammasome complex (no CHIP-driver sequence variations, 0.4797 nUMI; DNMT3A, 0.9961 nUMI; P &lt; .001; TET2, 1.2189 nUMI; P &lt; .001), plus upregulation of CD163 (no CHIP-driver sequence variations, 0.5239 nUMI; DNMT3A, 1.4722 nUMI; P &lt; .001; TET2, 1.0684 nUMI; P &lt; .001), a cellular receptor capable of mediating infection, macrophage activation syndrome, and other genes involved in cytokine response syndrome. Gene ontology term analyses of regulated genes revealed that the most significantly upregulated genes encode for leukocyte-activation and interleukin-signaling pathways in monocytes of individuals with DNMT3A (myeloid leukocyte activation: log[Q value], -50.1986; log P value, -54.5177; regulation of cytokine production: log[Q value], -21.0264; log P value, -24.1993; signaling by interleukins: log[Q value], -18.0710: log P value, -21.1597) or TET2 CHIP-driver sequence variations (immune response: log[Q value], -36.3673; log P value, -40.6864; regulation of cytokine production: log[Q value], -13.1733; log P value, -16.3463; signaling by interleukins: log[Q value], -12.6547: log P value, -15.7977).</AbstractText>
                <AbstractText Label=""Conclusions and Relevance"">Monocytes of individuals who carry CHIP-driver sequence variations and have cardiovascular disease appear to be primed for excessive inflammatory responses. Further studies are warranted to address potential adverse outcomes of coronavirus disease 2019 in patients with CHIP-driver sequence variations.</AbstractText>
            </Abstract>",11,2021-05-17 00:00:00
60112,33045186,10.1016/S2468-2667(20)30231-0,The Lancet. Public health,England,COVID-19 and mass incarceration: a call for urgent action.,"Alexandria Macmadu, Justin Berk, Eliana Kaplowitz, Marquisele Mercedes, Josiah D Rich, Lauren Brinkley-Rubinstein","<?xml version=""1.0""?>
<p/>
",8,2021-01-10 00:00:00
17432,33642450,10.5582/ddt.2020.03068,Drug discoveries & therapeutics,Japan,Clinical profile and outcomes of asymptomatic vs. symptomatic travellers diagnosed with COVID-19: An observational study from a coastal town in South India.,"Nitin Gupta, Anupa John, Mohammed Safeer Kokkottil, Muralidhar Varma, Shashikiran Umakanth, Kavitha Saravu","<Abstract>
                <AbstractText>Despite the high number of coronavirus disease-19 (COVID-19) cases from India, there are few reports from India describing the clinical epidemiology of COVID-19. This study aimed to describe the clinical/epidemiological characteristics and outcomes of asymptomatic vs. symptomatic COVID-19 patients. This was a retrospective chart review of all admitted patients with COVID-19 above 18 years with a history of travel within one month of the admission. The patients were categorized into asymptomatic and symptomatic. The symptomatic patients were further classified into mild, moderate and severe. The demographic profile, risk factors, clinical features, laboratory parameters, treatment details and outcome of all patients were recorded. The clinical and laboratory parameters were compared between symptomatic patients and asymptomatic patients. Of the 127 recruited patients, 75 were asymptomatic. Of the 52 symptomatic patients, 41 patients were classified as a mild illness. The mean age of the patients was 44.5 ± 15 years. A total of 73 patients had one or more risk factors. The male patients were more commonly found to be symptomatic compared to female patients. Neutrophil-lymphocyte ratio, C-reactive protein and lactate dehydrogenase were significantly elevated in symptomatic patients. A total of five individuals required supplemental oxygen therapy, and one of them required mechanical ventilation. All the patients had favourable outcomes. Asymptomatic and mild illness form a significant proportion of positive patients and have excellent outcomes without therapeutic interventions.</AbstractText>
            </Abstract>",1,2021-03-17 00:00:00
22745,33310152,10.1016/j.exger.2020.111197,Experimental gerontology,England,Metformin in acute respiratory distress syndrome: An opinion.,"Mohammad A Uddin, Mohammad S Akhter, Khadeja-Tul Kubra, Agnieszka Siejka, Nektarios Barabutis","<Abstract>
                <AbstractText>Senior individuals are more susceptible to the irreversible outcomes of endothelial barrier dysfunction, the hallmark of Acute Respiratory Distress Syndrome (ARDS). The Severe Acute Respiratory Syndrome Coronovirus 2 (SARS-CoV-2) - inflicted ARDS delivers the devastating outcomes of the COVID-19 worldwide. Endothelial hyperpermeability has been associated with both the progression and establishment of the COVID-19 - related respiratory failure. In the present study we investigated the in vitro effects of Metformin in the permeability of bovine pulmonary artery endothelial cells. Our preliminary results suggest that moderate doses (0.1, 0.5, 1.0 mM) of this anti-diabetic agent enhance the vascular barrier integrity, since it produces an increase in the transendothelial resistance of endothelial monolayers. Thus, we speculate that Metformin may deliver a new therapeutic possibility in ARDS, alone or in combination with other barrier enhancers.</AbstractText>
                <CopyrightInformation>Copyright © 2020 Elsevier Inc. All rights reserved.</CopyrightInformation>
            </Abstract>",1,2021-02-16 00:00:00
50159,33037683,10.1111/pan.14035,Paediatric anaesthesia,France,"The COVID-19 era and pediatric procedural sedation: A consecutive case series with an emphasis on preparation, precautions, and risk reduction.","Daniela Nisticò, Alessia Saccari, Manola Comar, Rosaura Conti, Arturo Penco, Francesca Peri, Ester Conversano, Egidio Barbi","<?xml version=""1.0""?>
<p/>
",0,2021-01-10 00:00:00
143431,34027579,10.1007/s11605-021-05032-y,Journal of gastrointestinal surgery : official journal of the Society for Surgery of the Alimentary Tract,United States,COVID-19's Impact on Cancer Care: Increased Emotional Stress in Patients and High Risk of Provider Burnout.,"Omid Salehi, Sylvia V Alarcon, Eduardo A Vega, Onur C Kutlu, Olga Kozyreva, Jennifer A Chan, Vera Kazakova, Dominique Harz, Claudius Conrad","<Abstract><AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">COVID-19's precise impact on cancer patients and their oncologic care providers remains poorly understood. This study aims at comparatively analyzing COVID-19's effect on cancer care from both patient and provider perspectives.</AbstractText><AbstractText Label=""METHODS"" NlmCategory=""METHODS"">A multi-institutional survey was developed to assess COVID-19-specific concerns regarding treatment, safety, and emotional stress through 5-point Likert-type prompts and open-ended questions before and during the pandemic. Wilcoxon signed-rank and rank-sum tests were used to analyze before/during answers for providers and patients independently. Open-ended responses were assessed using inductive thematic analysis.</AbstractText><AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">The survey was completed by 104 (69.3%) patients and 50 (50%) providers. Patients demonstrated a significant change in only 1 of 15 Likert prompts. Most significant were increased concern regarding susceptibility to infection [z = 2.536, p = 0.011] and concerns regarding their cancer outcome [z = 4.572, p &lt; 0.001]. Non-physician providers demonstrated significant change in 8 of 13 Likert prompts, whereas physicians had all 13 Likert prompts change in the COVID-19 setting. Physicians believed care to be more poorly planned [z = -3.857, p ≤ 0.001], availability of protective personal equipment to be more limited [z = -4.082, p &lt; 0.001], and were significantly concerned infecting family members [z = 4.965, p &lt; 0.001].</AbstractText><AbstractText Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"">While patients had more difficulty coping with their cancer, they did not perceive significant differences in their actual treatment. This suggests the need for a renewed focus on patients coping with cancer. Among providers, physicians more than any other provider group had a strong negative perception of COVID-19's impact on healthcare, suggesting the need for novel approaches to target physician burnout.</AbstractText></Abstract>",0,2021-05-27 00:00:00
161820,34387909,10.1111/ijcp.14735,International journal of clinical practice,England,Comparison of the clinical and radiological manifestations of male patients with COVID-19 from different ethnicities.,"Randa I Ahmed, Mahmoud A F Khalil, Eman E Mahmoud, Osama L Nakhla, Salah A Ali, Mona I Ahmed","<Abstract><AbstractText Label=""AIM"" NlmCategory=""OBJECTIVE"">The coronavirus disease 2019 (COVID-19) outbreak began in Wuhan, China, and quickly escalated into a significant pandemic threat. COVID-19 is associated with variable morbidity and mortality rates, which differ greatly from one country to another. This study aimed to investigate the clinical findings of SARS-CoV-2 infection in different ethnic groups, as well as to identify the radiological manifestations and various biomarkers for the assessment of COVID-19 patients.</AbstractText><AbstractText Label=""MATERIALS AND METHODS"" NlmCategory=""METHODS"">The clinical data of 210 COVID-19 patients with respiratory disorders, who attended the chest clinic at Mouwasat Hospital, Jubail, in the Eastern area of the Kingdom of Saudi Arabia from April to May 2020, were thoroughly reviewed. The patients were divided into seven groups based on their ethnicities (Saudi, Egyptian, Nepali, Filipino, Pakistani, Bangladeshi and Indian). The differences in the clinical findings, laboratory data and radiological manifestations between these groups were statistically analysed.</AbstractText><AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">The study included 210 COVID-19 patients from seven ethnic groups (Saudi, Egyptian, Nepali, Filipino, Pakistani, Bangladeshi and Indian). Comorbidities were reported among 60.9% of patients, which were significantly higher among Filipinos at 73.3%. Dyspnoea was prevalent in the Saudi and Pakistani groups, while hypoxaemia was prevalent in the Indian group (40%). In terms of laboratory assessment, Bangladesh patients had the highest median of serum ferritin and lactate dehydrogenase (LDH) levels with a significant P value (&lt;.001), while Saudi patients had the highest median of C-reactive protein (CRP) levels with a significant P value (&lt;.001). According to computed tomography (CT) findings, structural destruction was the most common finding in bilateral parenchymal affection among 88.6% of patients. Filipinos and Bangladeshis had the highest morbidity rates.</AbstractText><AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">There were great variations in clinical, radiological and even laboratory findings among different ethnic groups of COVID-19 patients.</AbstractText><CopyrightInformation>© 2021 John Wiley &amp; Sons Ltd.</CopyrightInformation></Abstract>",0,2021-09-08 00:00:00
10780,33295637,10.1002/jmv.26717,Journal of medical virology,United States,COVID-19 related fatigue: Which role for rehabilitation in post-COVID-19 patients? A case series.,"Francesco Ferraro, Dario Calafiore, Francesca Dambruoso, Sergio Guidarini, Alessandro de Sire","<?xml version=""1.0""?>
<p/>
",11,2021-03-10 00:00:00
120687,32835083,10.1016/j.imu.2020.100407,Informatics in medicine unlocked,England,Predicted therapeutic targets for COVID-19 disease by inhibiting SARS-CoV-2 and its related receptors.,"Negar Balmeh, Samira Mahmoudi, Niloofar Mohammadi, Anasik Karabedianhajiabadi","<Abstract>
                <AbstractText>The SARS-CoV-2 causes severe pulmonary infectious disease with an exponential spread-ability. In the present research, we have tried to look into the molecular cause of disease, dealing with the development and spread of the coronavirus disease 2019 (COVID-19). Therefore, different approaches have investigated against disease development and infection in this research; First, We identified hsa-miR-1307-3p out of 1872 pooled microRNAs, as the best miRNA, with the highest affinity to SARS-CoV-2 genome and its related cell signaling pathways. Second, the findings presented that this miRNA had a considerable role in PI3K/Act, endocytosis, and type 2 diabetes, moreover, it may play a critical role in the prevention of GRP78 production and the virus entering, proliferation and development. Third, nearly 1033 medicinal herbal compounds were collected and docked with ACE2, TMPRSS2, GRP78, and AT1R receptors, which were the most noticeable receptors in causing the COVID-19. Among them, there were three common compounds including berbamine, hypericin, and hesperidin, which were more effective and appropriate to prevent the COVID-19 infection. Also, it was revealed some of these chemical compounds which had a greater affinity for AT1R receptor inhibitors can be suitable therapeutic targets for inhibiting AT1R and preventing the adverse side effects of this receptor. According to the result, clinical assessment of these three herbal compounds and hsa-miR-1307-3p may have significant outcomes for the prevention, control, and treatment of COVID-19 infection.</AbstractText>
                <CopyrightInformation>© 2020 The Author(s).</CopyrightInformation>
            </Abstract>",11,2020-10-17 00:00:00
85809,32427226,10.1016/j.chemolab.2020.104054,Chemometrics and intelligent laboratory systems : an international journal sponsored by the Chemometrics Society,Netherlands,An automated Residual Exemplar Local Binary Pattern and iterative ReliefF based COVID-19 detection method using chest X-ray image.,"Turker Tuncer, Sengul Dogan, Fatih Ozyurt","<Abstract>
                <AbstractText>Coronavirus is normally transmitted from animal to person, but nowadays it is transmitted from person to person by changing its form. Covid-19 appeared as a very dangerous virus and unfortunately caused a worldwide pandemic disease. Radiology doctors use X-ray or CT images for the diagnosis of Covid-19. It has become crucial to help diagnose such images using image processing methods. Therefore, a novel intelligent computer vision method to automatically detect the Covid-19 virus was proposed. The proposed automatic Covid-19 detection method consists of preprocessing, feature extraction, and feature selection stages. Image resizing and grayscale conversion are used in the preprocessing phase. The proposed feature generation method is called Residual Exemplar Local Binary Pattern (ResExLBP). In the feature selection phase, a novel iterative ReliefF (IRF) based feature selection is used. Decision tree (DT), linear discriminant (LD), support vector machine (SVM), k nearest neighborhood (kNN), and subspace discriminant (SD) methods are chosen as classifiers in the classification phase. Leave one out cross-validation (LOOCV), 10-fold cross-validation, and holdout validation are used for training and testing. In this work, SVM classifier achieved 100.0% classification accuracy by using 10-fold cross-validation. This result clearly has shown that the perfect classification rate by using X-ray image for Covid-19 detection. The proposed ResExLBP and IRF based method is also cognitive, lightweight, and highly accurate.</AbstractText>
                <CopyrightInformation>© 2020 Elsevier B.V. All rights reserved.</CopyrightInformation>
            </Abstract>",22,2021-01-10 00:00:00
106256,32661740,10.1007/s11673-020-09986-7,Journal of bioethical inquiry,Netherlands,Life Goes On.,Michael A Ashby,"<?xml version=""1.0""?>
<p/>
",0,2020-09-09 00:00:00
59907,33090883,10.1080/07357907.2020.1841922,Cancer investigation,England,Randomized  Controlled Trials Versus Real-World Data in the COVID-19 Era: A False Narrative.,"Gary H Lyman, Nicole M Kuderer","<?xml version=""1.0""?>
<p/>
",1,2020-12-14 00:00:00
49934,33058941,10.1016/j.jhin.2020.10.003,The Journal of hospital infection,England,Do hydrogen peroxide mouthwashes have a virucidal effect? A systematic review.,"K L Ortega, B O Rech, G L C El Haje, C B Gallo, M Pérez-Sayáns, P H Braz-Silva","<Abstract>
                <AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">The presence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in saliva has alerted health professionals to the possibility of contamination by aerosols generated in a number of procedures. The indication of preoperative mouthwash containing 1% hydrogen peroxide for reducing the viral load of SARS-CoV-2 in saliva prior to oral procedures has been significantly disseminated through several citations and influenced various dental associations in the elaboration of dental care protocols during this pandemic period, including patients admitted to hospital wards and intensive care units.</AbstractText>
                <AbstractText Label=""AIM"" NlmCategory=""OBJECTIVE"">To Our aim was to perform a systematic review to answer the following question: does hydrogen peroxide mouthwash (at any concentration) have a virucidal effect?</AbstractText>
                <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">The Cochrane, LILACS, PubMed, Scopus, and Embase databases were searched by using the following key-words: 'hydrogen peroxide', 'mouthwash', 'mouth rinse', 'rinse', 'oral rinse', 'mouth bath', 'mouth wash', and 'mouth washes'. Reviews, letters to the editor, personal opinions, book chapters, case reports, congress abstracts, studies with animals and studies on mouthwash containing other compounds other than hydrogen peroxide were excluded.</AbstractText>
                <AbstractText Label=""FINDINGS"" NlmCategory=""RESULTS"">During the initial search 1342 articles were identified on the five electronic databases. After excluding some duplicates, 976 articles remained. Only studies assessing the virucidal effect of hydrogen peroxide mouthwash were selected, regardless of publication date.</AbstractText>
                <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">After reading titles and abstracts, no article met the eligibility criteria. In conclusion, there is no scientific evidence supporting the indication of hydrogen peroxide mouthwash for control of the viral load regarding SARS-CoV-2 or any other viruses in saliva.</AbstractText>
                <CopyrightInformation>Copyright © 2020 The Healthcare Infection Society. Published by Elsevier Ltd. All rights reserved.</CopyrightInformation>
            </Abstract>",3,2021-01-31 00:00:00
1936,33773117,10.1016/S0140-6736(21)00708-X,"Lancet (London, England)",England,Human rights and fair access to COVID-19 vaccines: the International AIDS Society-Lancet Commission on Health and Human Rights., ,"<?xml version=""1.0""?>
<p/>
",1,2021-05-11 00:00:00
43610,33357517,10.1016/S1473-3099(20)30859-8,The Lancet. Infectious diseases,United States,A decentralised point-of-care testing model to address inequities in the COVID-19 response.,"Belinda Hengel, Louise Causer, Susan Matthews, Kirsty Smith, Kelly Andrewartha, Steven Badman, Brooke Spaeth, Annie Tangey, Phillip Cunningham, Emily Phillips, James Ward, Caroline Watts, Jonathan King, Tanya Applegate, Mark Shephard, Rebecca Guy","<Abstract>
                <AbstractText>The COVID-19 pandemic is growing rapidly, with over 37 million cases and more than 1 million deaths reported by mid-October, 2020, with true numbers likely to be much higher in the many countries with low testing rates. Many communities are highly vulnerable to the devastating effects of COVID-19 because of overcrowding in domestic settings, high burden of comorbidities, and scarce access to health care. Access to testing is crucial to globally recommended control strategies, but many communities do not have adequate access to timely laboratory services. Geographic dispersion of small populations across islands and other rural and remote settings presents a key barrier to testing access. In this Personal View, we describe a model for the implementation of decentralised COVID-19 point-of-care testing in remote locations by use of the GeneXpert platform, which has been successfully scaled up in remote Aboriginal and Torres Strait Islander communities across Australia. Implementation of the decentralised point-of-care testing model should be considered for communities in need, especially those that are undertested and socially vulnerable. The decentralised testing model should be part of the core global response towards suppressing COVID-19.</AbstractText>
                <CopyrightInformation>Copyright © 2020 Elsevier Ltd. All rights reserved.</CopyrightInformation>
            </Abstract>",4,2020-12-31 00:00:00
93655,32699014,10.1136/bmj.m2933,BMJ (Clinical research ed.),England,NICE cautions against using graded exercise therapy for patients recovering from covid-19.,,"<?xml version=""1.0""?>
<p/>
",0,2020-07-24 00:00:00
31908,33462438,10.1038/s41564-021-00865-4,Nature microbiology,England,Publisher Correction: Genomic epidemiology reveals multiple introductions of SARS-CoV-2 from mainland Europe into Scotland.,"Ana da Silva Filipe, James G Shepherd, Thomas Williams, Joseph Hughes, Elihu Aranday-Cortes, Patawee Asamaphan, Shirin Ashraf, Carlos Balcazar, Kirstyn Brunker, Alasdair Campbell, Stephen Carmichael, Chris Davis, Rebecca Dewar, Michael D Gallagher, Rory Gunson, Verity Hill, Antonia Ho, Ben Jackson, Edward James, Natasha Jesudason, Natasha Johnson, E Carol McWilliam Leitch, Kathy Li, Alasdair MacLean, Daniel Mair, David A McAllister, John T McCrone, Sarah E McDonald, Martin P McHugh, A Keith Morris, Jenna Nichols, Marc Niebel, Kyriaki Nomikou, Richard J Orton, Áine O'Toole, Massimo Palmarini, Benjamin J Parcell, Yasmin A Parr, Andrew Rambaut, Stefan Rooke, Sharif Shaaban, Rajiv Shah, Joshua B Singer, Katherine Smollett, Igor Starinskij, Lily Tong, Vattipally B Sreenu, Elizabeth Wastnedge,  , Matthew T G Holden, David L Robertson, Kate Templeton, Emma C Thomson","<?xml version=""1.0""?>
<p/>
",0,2021-01-28 00:00:00
68716,33026198,,Giornale italiano di nefrologia : organo ufficiale della Societa italiana di nefrologia,Italy,[Efficacy of serological tests for COVID-19 in asymptomatic HD patients: the experience of an Italian hemodialysis unit].,"Lorena Traversari, Manuela Camilli","<Abstract>
                <AbstractText>We report the brief experience of the Nephrology Center located in a ""no-COVID"" Hospital in Massa Marittima. We describe the actions taken to prevent the transmission of the virus SARS-CoV-2 among hemodialysis patients and healthcare workers and the methods for diagnosing COVID-19, with particular attention to serological tests and nasopharyngeal swabs in asymptomatic subjects. The detection of IgM and IgG antibodies through the serological test performed on 34 patients, all negative for nasopharyngeal swabs, showed positivity in 41,18% of cases. These have been classified as false positives following repeated negative nasopharyngeal swabs, the evaluation of clinical and epidemiological history and of clinical manifestations and, finally, a second serological test performed after 18 days, which resulted negative for all patients. Interpreting serological tests is not easy; the strategies for diagnosis should include clinical and epidemiological history and clinical manifestations, as well as the results of confirmation tests and the evaluation over a precise observation period. Otherwise, there is a risk of considering as protected by antibodies subjects that are in fact false positives.</AbstractText>
                <CopyrightInformation>Copyright by Società Italiana di Nefrologia SIN, Rome, Italy.</CopyrightInformation>
            </Abstract>",0,2020-12-18 00:00:00
67391,33050880,10.1186/s10194-020-01188-1,The journal of headache and pain,England,Headache characteristics in COVID-19 pandemic-a survey study.,"Özge Uygun, Mustafa Ertaş, Esme Ekizoğlu, Hayrunnisa Bolay, Aynur Özge, Elif Kocasoy Orhan, Arif Atahan Çağatay, Betül Baykan","<Abstract>
                <AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">Headache is the most common COVID-19-related neurological symptom. We aimed to reveal diagnostic clues of headache for COVID-19 infection and to investigate the course of primary headaches during the pandemic.</AbstractText>
                <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">We developed a detailed web-based questionnaire screening the characteristics and course of headaches besides clinical COVID-19 features. The participants were grouped according to being diagnosed with COVID-19 infection or not, and having previous or new-onset headaches. The COVID-19 related headache features and their associations with other clinical features were investigated. A binary logistic regression model was performed to differentiate the characteristics of headache related to COVID-19.</AbstractText>
                <AbstractText Label=""FINDINGS"" NlmCategory=""RESULTS"">A total of 3458 participants (2341 females;67.7%, 1495 healthcare workers;43.2%) with a mean age of 43.21 ± 11.2 years contributed to the survey. Among them, 262 participants had COVID-19 diagnosis and 126 (48.1%) were male. The rate of males in the group without COVID-19 was 31% (991 out of 3196 participants) showing significant gender difference between groups (p &lt; 0.000). COVID-19 related headaches were more closely associated with anosmia/ageusia and gastrointestinal complaints (p &lt; 0.000 and p &lt; 0.000), and showed different characteristics like pulsating, pressing, and even stabbing quality. Logistic regression analyses showed that bilateral headache, duration over 72 h, analgesic resistance and having male gender were significant variables to differentiate COVID-19 positive patients from those without COVID-19 (p = 0.04 for long duration and p &lt; 0.000 for others). A worsening of previous primary headaches due to the pandemic-related problems was not reported in the majority of patients.</AbstractText>
                <AbstractText Label=""INTERPRETATION"" NlmCategory=""CONCLUSIONS"">Bilateral, long-lasting headaches, resistance to analgesics and having male gender were more frequent in people with COVID-19 in conjunction with anosmia/ageusia and gastrointestinal complaints. These features may be helpful for diagnosing the headache related to COVID-19 during the pandemic.</AbstractText>
            </Abstract>",23,2020-12-18 00:00:00
